"時間戳記","你目前 ""會"" 或 ""熟練"" 的程式語言有哪些呢? (你目前的技能)","目前  ""最有興趣"" 或 ""最想學習"" 的語言","資源分享","拋接訂單、求職資訊交換","純技術的分享交流","結交同好","程式教學、課程","提問與解答幫助","其他","網頁前端","資料庫","Discord Bot","刷題解題、比賽 (CF、LeetCode、Code War...)","桌面應用程式開發 (含GUI)","移動裝置應用程式開發 (含GUI)","機器學習","網頁爬蟲","單晶片 / Arduino","其他","程式語言 與 基本語法","網頁前端","Discord Bot","桌面應用程式開發 (含GUI)","移動裝置應用程式開發 (含GUI)","資料庫","API串接 / API 開發","網路爬蟲","其他"
"2020/05/25 7:17:47 下午 GMT+8","Python","Python","2","1","5","5","4","5","","5","5","5","3","5","5","5","5","5","","5","5","5","5","5","5","4","5",""
"2020/05/25 7:23:02 下午 GMT+8","Java;HTML / CSS","Python;Kotlin;HTML / CSS","5","5","5","5","5","5","","5","3","3","3","5","5","3","3","2","","4","5","4","5","5","3","4","3",""
"2020/05/25 7:26:16 下午 GMT+8","Python;C++;HTML / CSS","JavaScript / TypeScript / Node.js","5","4","5","4","5","5","","5","3","5","3","3","5","5","5","4","","4","5","5","3","5","3","4","5",""
"2020/05/25 7:43:23 下午 GMT+8","C++;C","JavaScript / TypeScript / Node.js;Java;HTML / CSS","5","3","5","4","5","5","","5","5","3","5","5","5","3","4","5","","5","5","3","5","5","5","3","4",""
"2020/05/25 9:33:26 下午 GMT+8","Python","Python;JavaScript / TypeScript / Node.js;C++;Java","5","3","4","3","5","3","","3","3","5","4","4","3","4","5","3","","5","3","5","4","3","3","3","5",""
"2020/05/25 9:39:44 下午 GMT+8","Python;Java","Python;JavaScript / TypeScript / Node.js;C#;C;Go Lang;HTML / CSS","4","4","4","3","5","5","","4","1","1","1","4","4","4","4","5","","5","4","1","5","5","2","5","4",""
"2020/05/25 9:52:59 下午 GMT+8","Python","Python;Go Lang","4","4","3","3","4","4","","3","2","3","2","3","4","4","2","1","","3","4","3","3","4","2","4","2",""
"2020/05/25 10:10:08 下午 GMT+8","Python","Python;Java;HTML / CSS","4","3","5","5","5","5","","4","3","5","5","5","5","5","5","5","","5","5","5","5","5","5","3","4",""
"2020/05/25 10:30:10 下午 GMT+8","C++","Python;Java","3","1","3","4","4","3","","4","3","1","3","5","5","4","4","4","","4","4","4","5","5","4","2","4",""
"2020/05/25 11:13:03 下午 GMT+8","無","HTML / CSS","1","1","1","1","1","1","","2","1","1","3","2","1","1","1","1","","1","1","1","1","1","1","1","1",""
"2020/05/26 1:28:29 上午 GMT+8","HTML / CSS","HTML / CSS","5","2","5","5","5","5","","5","4","2","3","5","5","2","5","2","","5","5","2","5","5","2","4","5",""
"2020/05/26 10:59:20 上午 GMT+8","Python;Java","Python;JavaScript / TypeScript / Node.js;C++","4","4","4","5","4","5","","4","5","3","4","4","2","5","3","5","","4","3","3","4","2","5","4","2",""
"2020/05/26 6:40:36 下午 GMT+8","無","Python;C++","3","3","1","4","4","4","","3","3","3","1","3","3","3","3","4","","3","3","3","3","3","3","3","3",""
"2020/05/28 4:24:33 下午 GMT+8","Python","Python;JavaScript / TypeScript / Node.js","5","5","5","5","5","5","","4","4","1","1","5","5","5","5","5","","5","4","1","5","5","5","5","5",""
"2020/05/28 4:40:03 下午 GMT+8","Python","Python;JavaScript / TypeScript / Node.js","5","5","5","5","5","5","","4","4","1","1","5","5","5","5","5","","5","4","1","5","5","5","5","5",""
"2020/05/29 7:18:58 下午 GMT+8","C","Python","5","5","5","5","3","3","","3","3","3","3","5","5","5","3","5","","5","3","3","5","5","3","3","3",""
"2020/05/30 12:43:25 上午 GMT+8","C++;C#;C","Python;JavaScript / TypeScript / Node.js;C++;C#;C;Java","5","5","5","5","5","5","剛步入這行，希望結交同好，精進程式設計的才能","4","3","5","5","3","3","5","3","4","","5","4","5","3","3","3","3","3",""
"2020/05/30 5:18:09 下午 GMT+8","Python;JavaScript / TypeScript / Node.js;C++","Python;JavaScript / TypeScript / Node.js;C++","4","4","4","4","4","3","","3","3","4","5","4","4","3","4","4","","4","3","4","4","4","4","4","4",""
"2020/05/31 8:38:40 下午 GMT+8","無","Python;JavaScript / TypeScript / Node.js;C++;Ruby;HTML / CSS","5","5","5","5","5","5","","5","5","5","5","5","5","5","5","5","","5","5","5","5","5","5","5","5",""
