"時間戳記","你目前 ""會"" 或 ""熟練"" 的程式語言有哪些呢? (你目前的技能)","目前  ""最有興趣"" 或 ""最想學習"" 的語言","資源分享","拋接訂單、求職資訊交換","純技術的分享交流","結交同好","程式教學、課程","提問與解答幫助","其他","網頁前端","資料庫","Discord Bot","刷題解題、比賽 (CF、LeetCode、Code War...)","桌面應用程式開發 (含GUI)","移動裝置應用程式開發 (含GUI)","機器學習","網頁爬蟲","單晶片 / Arduino","其他","程式語言 與 基本語法","網頁前端","Discord Bot","桌面應用程式開發 (含GUI)","移動裝置應用程式開發 (含GUI)","資料庫","API串接 / API 開發","網路爬蟲","其他"
"2020/05/24 5:31:41 下午 GMT+8","Python;HTML / CSS;PHP","JavaScript / TypeScript / Node.js","5","4","5","4","5","5","","5","4","4","4","2","4","3","4","2","","1","5","5","4","4","3","5","4",""
"2020/05/24 10:37:42 下午 GMT+8","Python;JavaScript / TypeScript / Node.js;C++;C#;C;Java;HTML / CSS;php","Go Lang;Kotlin","5","4","5","5","5","5","","5","5","5","5","5","5","5","5","5","","4","5","5","5","5","5","5","5",""
"2020/05/25 8:23:23 上午 GMT+8","JavaScript / TypeScript / Node.js;C++;Java","Python","5","5","5","4","5","4","","2","5","4","4","3","3","4","3","1","","3","3","4","3","3","5","4","2",""
"2020/05/25 10:47:21 上午 GMT+8","JavaScript / TypeScript / Node.js;C++;C#;C;Java;HTML / CSS","C#","4","5","4","4","5","5","","3","4","4","2","4","4","4","5","3","","3","3","4","4","4","4","5","4",""
"2020/05/25 1:59:12 下午 GMT+8","Python;JavaScript / TypeScript / Node.js;C#;HTML / CSS","Python;JavaScript / TypeScript / Node.js","5","1","5","5","5","3","","4","3","5","5","4","3","2","5","1","","5","4","5","4","2","2","5","5",""
"2020/05/25 2:21:05 下午 GMT+8","Python;JavaScript / TypeScript / Node.js;C++;C;Java;HTML / CSS","Go Lang;Ruby","5","3","5","5","5","5","","4","3","2","5","3","3","5","4","3","","3","4","3","3","3","3","4","4",""
"2020/05/25 4:57:39 下午 GMT+8","Python;C++;C;Go Lang;Java;HTML / CSS","JavaScript / TypeScript / Node.js;Go Lang;Ruby","5","4","4","5","4","5","","4","5","2","5","5","5","5","5","3","","2","4","2","5","4","4","5","5",""
"2020/05/25 6:09:49 下午 GMT+8","Python;JavaScript / TypeScript / Node.js;C++;C;Java;HTML / CSS","Python;JavaScript / TypeScript / Node.js;Go Lang","5","4","3","5","3","4","","1","4","5","4","4","4","5","5","2","","4","2","5","4","4","4","5","5",""
"2020/05/25 6:22:44 下午 GMT+8","Python;C","Python;JavaScript / TypeScript / Node.js;C++;C","5","5","5","5","5","5","","5","5","3","5","5","5","5","5","5","","5","5","3","5","5","5","5","5",""
"2020/05/25 6:46:34 下午 GMT+8","Python;C++","Python","4","3","5","5","4","4","","3","3","5","4","3","3","4","3","2","","5","3","5","3","3","4","3","3",""
